,Name,Average Daily Production_score,Revenue_score,Net Profit_score,Net Profit Margin_score,Return on Assets_score,Debt to Equity Ratio_score,EBITDA to Interest Expenses Ratio_score adjusted,Company Score
0,Sinopec (CN),4,4,3,1,1,3,3,19
1,ONGC (IN),1,1,2,4,3,1,2,14
2,OIL (IN),1,1,3,4,4,2,4,19
3,Gazprom (RU),4,2,2,2,1,1,2,14
4,Petronas (MY),3,2,3,4,3,1,1,17
5,Aramco (SA),4,4,4,4,4,1,4,25
6,Naftogaz (UA),4,1,1,1,1,1,4,13
7,Equinor (NO),3,3,4,4,4,3,1,22
8,Ecopetrol (CO),1,1,1,3,2,4,4,16
9,Eneos Holding (JP),2,2,1,1,1,4,2,13
10,SK Innovation (KR),4,2,2,2,3,4,3,20
11,Idemitsu (JP),4,1,1,2,4,4,4,20
12,Reliance Industries Ltd (IN),2,3,2,1,2,2,3,15
13,ExxonMobil (USA),4,4,4,3,4,2,1,22
14,Chevron (USA),2,3,4,3,3,2,1,18
15,BP (UK),1,3,1,1,1,4,2,13
16,Shell (UK),3,4,4,3,2,3,3,22
17,TotalEnergies (FR),2,4,3,2,2,3,1,17
