FY,Crude_Sold,Nat_Sold,Crude_Price,Nat_Price,Crude_Rev,Nat_Rev,Others_Rev,Total_Rev,Net_Income,Total_Shares
2014,25.04,73.8,47.2,3.5,1181.85,258.3,62.18,1502.33,689.27,601.14
2015,24.31,76.01,47.1,3.9,1145,300.35,70.1,1515.45,672.62,601.14
2016,23.01,81.71,44.7,4,1028.55,326.84,73.81,1429.19,569.94,601.14
2017,23.02,81.17,47.4,2.78,1091.29,225.65,71.71,1388.65,483.84,801.51
2018,23.81,80.28,55.7,2.69,1326.19,215.94,75.47,1617.6,600,756.6
2019,24.09,80.26,68.5,2.21,1650.47,177.37,82.09,1909.94,675.54,1084.41
2020,21.87,80.14,60.75,2.06,1328.6,165.09,71.85,1565.54,174.04,1084.41
2021,20.58,80.12,43.98,2.02,905.11,161.84,73.7,1140.65,-240.3,1084.41
2022,20.87,80.72,78.96,2.35,1647.9,189.69,84.58,1922.17,788.88,1084.41
2023,22,84.53,95.47,7.34,2100.34,620.48,120.09,2840.9,921.68,240.3
